,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.798,0.01,0.008,0.031,0.028,0.003,0.003,0.011,0.016,0.003,0.003
GARCH-M+N,0.202,NA,0.009,0.007,0.032,0.026,0.003,0.003,0.014,0.014,0.003,0.002
eGARCH+N,0.99,0.991,NA,0.87,0.933,0.953,0.017,0.013,0.951,0.951,0.005,0.027
apARCH+N,0.992,0.993,0.13,NA,0.872,0.919,0.014,0.006,0.924,0.929,0.007,0.004
sGARCH+t,0.969,0.968,0.067,0.128,NA,0.772,0.015,0.017,0.799,0.79,0.011,0.022
GARCH-M+t,0.972,0.974,0.047,0.081,0.228,NA,0.008,0.009,0.585,0.694,0.006,0.01
eGARCH+t,0.997,0.997,0.983,0.986,0.985,0.992,NA,0.712,0.987,0.99,0.677,0.916
apARCH+t,0.997,0.997,0.987,0.994,0.983,0.991,0.288,NA,0.986,0.989,0.39,0.969
sGARCH+GED,0.989,0.986,0.049,0.076,0.201,0.415,0.013,0.014,NA,0.568,0.01,0.015
GARCH-M+GED,0.984,0.986,0.049,0.071,0.21,0.306,0.01,0.011,0.432,NA,0.008,0.012
eGARCH+GED,0.997,0.997,0.995,0.993,0.989,0.994,0.323,0.61,0.99,0.992,NA,0.933
apARCH+GED,0.997,0.998,0.973,0.996,0.978,0.99,0.084,0.031,0.985,0.988,0.067,NA
