,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.43,0.16,0.276,0.349,0.352,0.194,0.261,0.319,0.32,0.21,0.248
GARCH-M+N,0.57,NA,0.161,0.283,0.377,0.367,0.193,0.264,0.363,0.329,0.212,0.249
eGARCH+N,0.84,0.839,NA,0.949,0.913,0.93,0.479,0.768,0.886,0.897,0.639,0.815
apARCH+N,0.724,0.717,0.051,NA,0.776,0.795,0.122,0.251,0.74,0.738,0.112,0.199
sGARCH+t,0.651,0.623,0.087,0.224,NA,0.465,0.141,0.222,0.575,0.491,0.148,0.2
GARCH-M+t,0.648,0.633,0.07,0.205,0.535,NA,0.116,0.201,0.572,0.523,0.126,0.173
eGARCH+t,0.806,0.807,0.521,0.878,0.859,0.884,NA,0.892,0.835,0.853,0.767,0.899
apARCH+t,0.739,0.736,0.232,0.749,0.778,0.799,0.108,NA,0.753,0.762,0.115,0.488
sGARCH+GED,0.681,0.637,0.114,0.26,0.425,0.428,0.165,0.247,NA,0.432,0.178,0.228
GARCH-M+GED,0.68,0.671,0.103,0.262,0.509,0.477,0.147,0.238,0.568,NA,0.166,0.215
eGARCH+GED,0.79,0.788,0.361,0.888,0.852,0.874,0.233,0.885,0.822,0.834,NA,0.902
apARCH+GED,0.752,0.751,0.185,0.801,0.8,0.827,0.101,0.512,0.772,0.785,0.098,NA
