,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.548,0.056,0.088,0.417,0.429,0.039,0.06,0.501,0.511,0.043,0.066
GARCH-M+N,0.452,NA,0.054,0.084,0.413,0.422,0.037,0.058,0.487,0.498,0.041,0.064
eGARCH+N,0.944,0.946,NA,0.927,0.934,0.941,0.074,0.208,0.941,0.948,0.081,0.394
apARCH+N,0.912,0.916,0.073,NA,0.902,0.911,0.053,0.073,0.916,0.925,0.05,0.069
sGARCH+t,0.583,0.587,0.066,0.098,NA,0.527,0.045,0.065,0.697,0.692,0.048,0.07
GARCH-M+t,0.571,0.578,0.059,0.089,0.473,NA,0.041,0.059,0.645,0.7,0.043,0.063
eGARCH+t,0.961,0.963,0.926,0.947,0.955,0.959,NA,0.919,0.958,0.963,0.915,0.93
apARCH+t,0.94,0.942,0.792,0.927,0.935,0.941,0.081,NA,0.94,0.946,0.16,0.898
sGARCH+GED,0.499,0.513,0.059,0.084,0.303,0.355,0.042,0.06,NA,0.528,0.044,0.064
GARCH-M+GED,0.489,0.502,0.052,0.075,0.308,0.3,0.037,0.054,0.472,NA,0.039,0.057
eGARCH+GED,0.957,0.959,0.919,0.95,0.952,0.957,0.085,0.84,0.956,0.961,NA,0.927
apARCH+GED,0.934,0.936,0.606,0.931,0.93,0.937,0.07,0.102,0.936,0.943,0.073,NA
