,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.057,0.056,0.046,0.048,0.048,0.045,0.046,0.034,0.035,0.038,0.037
GARCH-M+N,0.943,NA,0.059,0.047,0.049,0.05,0.045,0.047,0.034,0.035,0.039,0.038
eGARCH+N,0.944,0.941,NA,0.018,0.692,0.706,0.05,0.048,0.811,0.821,0.028,0.025
apARCH+N,0.954,0.953,0.982,NA,0.863,0.866,0.064,0.064,0.893,0.898,0.036,0.03
sGARCH+t,0.952,0.951,0.308,0.137,NA,0.806,0.046,0.051,0.88,0.89,0.035,0.034
GARCH-M+t,0.952,0.95,0.294,0.134,0.194,NA,0.047,0.052,0.869,0.884,0.036,0.035
eGARCH+t,0.955,0.955,0.95,0.936,0.954,0.953,NA,0.894,0.943,0.943,0.772,0.78
apARCH+t,0.954,0.953,0.952,0.936,0.949,0.948,0.106,NA,0.938,0.939,0.491,0.602
sGARCH+GED,0.966,0.966,0.189,0.107,0.12,0.131,0.057,0.062,NA,0.905,0.048,0.047
GARCH-M+GED,0.965,0.965,0.179,0.102,0.11,0.116,0.057,0.061,0.095,NA,0.047,0.046
eGARCH+GED,0.962,0.961,0.972,0.964,0.965,0.964,0.228,0.509,0.952,0.953,NA,0.757
apARCH+GED,0.963,0.962,0.975,0.97,0.966,0.965,0.22,0.398,0.953,0.954,0.243,NA
