,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.579,0.068,0.068,0.081,0.122,0.104,0.096,0.087,0.139,0.089,0.09
GARCH-M+N,0.421,NA,0.075,0.074,0.068,0.1,0.108,0.102,0.066,0.105,0.092,0.093
eGARCH+N,0.932,0.925,NA,0.65,0.771,0.796,0.339,0.232,0.826,0.839,0.376,0.429
apARCH+N,0.932,0.926,0.35,NA,0.784,0.811,0.285,0.203,0.838,0.853,0.286,0.335
sGARCH+t,0.919,0.932,0.229,0.216,NA,0.887,0.216,0.196,0.917,0.941,0.196,0.202
GARCH-M+t,0.878,0.9,0.204,0.189,0.113,NA,0.192,0.18,0.61,0.901,0.171,0.175
eGARCH+t,0.896,0.892,0.661,0.715,0.784,0.808,NA,0.202,0.816,0.832,0.686,0.733
apARCH+t,0.904,0.898,0.768,0.797,0.804,0.82,0.798,NA,0.83,0.842,0.786,0.803
sGARCH+GED,0.913,0.934,0.174,0.162,0.083,0.39,0.184,0.17,NA,0.901,0.163,0.166
GARCH-M+GED,0.861,0.895,0.161,0.147,0.059,0.099,0.168,0.158,0.099,NA,0.147,0.149
eGARCH+GED,0.911,0.908,0.624,0.714,0.804,0.829,0.314,0.214,0.837,0.853,NA,0.865
apARCH+GED,0.91,0.907,0.571,0.665,0.798,0.825,0.267,0.197,0.834,0.851,0.135,NA
