,sGARCH+N,GARCH-M+N,eGARCH+N,apARCH+N,sGARCH+t,GARCH-M+t,eGARCH+t,apARCH+t,sGARCH+GED,GARCH-M+GED,eGARCH+GED,apARCH+GED
sGARCH+N,NA,0.857,0.097,0.105,0.914,0.902,0.131,0.137,0.882,0.88,0.103,0.123
GARCH-M+N,0.143,NA,0.103,0.112,0.888,0.913,0.131,0.138,0.876,0.888,0.108,0.126
eGARCH+N,0.903,0.897,NA,0.837,0.912,0.906,0.395,0.317,0.9,0.896,0.62,0.792
apARCH+N,0.895,0.888,0.163,NA,0.911,0.902,0.213,0.19,0.894,0.89,0.189,0.386
sGARCH+t,0.086,0.112,0.088,0.089,NA,0.866,0.109,0.115,0.336,0.787,0.089,0.098
GARCH-M+t,0.098,0.087,0.094,0.098,0.134,NA,0.112,0.118,0.081,0.203,0.096,0.105
eGARCH+t,0.869,0.869,0.605,0.787,0.891,0.888,NA,0.276,0.877,0.877,0.686,0.806
apARCH+t,0.863,0.862,0.683,0.81,0.885,0.882,0.724,NA,0.871,0.871,0.723,0.833
sGARCH+GED,0.118,0.124,0.1,0.106,0.664,0.919,0.123,0.129,NA,0.87,0.103,0.115
GARCH-M+GED,0.12,0.112,0.104,0.11,0.213,0.797,0.123,0.129,0.13,NA,0.107,0.118
eGARCH+GED,0.897,0.892,0.38,0.811,0.911,0.904,0.314,0.277,0.897,0.893,NA,0.8
apARCH+GED,0.877,0.874,0.208,0.614,0.902,0.895,0.194,0.167,0.885,0.882,0.2,NA
