,persistence,unc_sd,ARCH_p_1,ARCH_p_5,ARCH_p_22,LB2_p_5,LB2_p_10,sign_bias_p,neg_bias_p,pos_bias_p,joint_p
sGARCH+N,0.8931,1.9670,0.5414  ,0.6166  ,0.6641  ,0.6028  ,0.7460  ,0.8093  ,0.1897  ,0.4710  ,0.4427  
GARCH-M+N,0.9011,1.9657,0.4526  ,0.6247  ,0.6998  ,0.6091  ,0.7336  ,0.8507  ,0.2006  ,0.3564  ,0.4490  
eGARCH+N,0.9382,1.9863,0.1455  ,0.6110  ,0.8911  ,0.6064  ,0.8441  ,0.9677  ,0.1541  ,0.0447**,0.1004  
apARCH+N,0.9269,2.0045,0.2137  ,0.5858  ,0.8131  ,0.5749  ,0.7855  ,1.0000  ,0.2572  ,0.0984  ,0.2419  
sGARCH+t,0.8913,1.8875,0.2338  ,0.7440  ,0.8045  ,0.7364  ,0.8718  ,0.8246  ,0.0428**,0.1775  ,0.0949  
GARCH-M+t,0.9035,1.8819,0.1722  ,0.7250  ,0.8408  ,0.7198  ,0.8613  ,0.8031  ,0.0468**,0.1017  ,0.0782  
eGARCH+t,0.9694,1.7960,0.0271**,0.3765  ,0.9047  ,0.3859  ,0.7578  ,0.9712  ,0.0855  ,0.0053**,0.0093**
apARCH+t,0.9591,1.8401,0.0410**,0.4433  ,0.8908  ,0.4546  ,0.7858  ,0.9331  ,0.1279  ,0.0087**,0.0176**
sGARCH+GED,0.8894,1.8882,0.3407  ,0.7224  ,0.7728  ,0.7098  ,0.8386  ,0.8738  ,0.0773  ,0.3014  ,0.2037  
GARCH-M+GED,0.9022,1.8824,0.2535  ,0.7221  ,0.8234  ,0.7116  ,0.8359  ,0.9336  ,0.0622  ,0.2330  ,0.1755  
eGARCH+GED,0.9631,1.8076,0.0421**,0.4559  ,0.9121  ,0.4642  ,0.7998  ,0.9927  ,0.0914  ,0.0088**,0.0164**
apARCH+GED,0.9463,1.8474,0.0815  ,0.5442  ,0.8820  ,0.5481  ,0.8151  ,0.9838  ,0.1696  ,0.0197**,0.0496**
