,persistence,unc_sd,ARCH_p_1,ARCH_p_5,ARCH_p_22,LB2_p_5,LB2_p_10,sign_bias_p,neg_bias_p,pos_bias_p,joint_p
sGARCH+N,0.9697,1.9999,0.4916  ,0.6905  ,0.1079  ,0.6826  ,0.8799  ,0.4307  ,0.5990  ,0.2153  ,0.6065  
GARCH-M+N,0.9706,2.0030,0.4776  ,0.6688  ,0.1040  ,0.6606  ,0.8607  ,0.5290  ,0.6355  ,0.2460  ,0.6470  
eGARCH+N,0.9782,2.3267,0.2455  ,0.2000  ,0.0587  ,0.1842  ,0.4855  ,0.4963  ,0.9965  ,0.3161  ,0.7875  
apARCH+N,0.9678,1.9783,0.3912  ,0.5226  ,0.1401  ,0.5097  ,0.7765  ,0.4985  ,0.8324  ,0.3161  ,0.7875  
sGARCH+t,0.9637,2.0345,0.1216  ,0.0986  ,0.0037**,0.0723  ,0.3055  ,0.5363  ,0.8567  ,0.0570  ,0.2816  
GARCH-M+t,0.9643,2.0348,0.1146  ,0.0843  ,0.0035**,0.0617  ,0.2797  ,0.5337  ,0.8636  ,0.0592  ,0.2889  
eGARCH+t,0.9789,1.9752,0.0030**,0.0000**,0.0000**,0.0000**,0.0001**,0.7708  ,0.1537  ,0.1027  ,0.1912  
apARCH+t,0.9686,2.0165,0.0161**,0.0031**,0.0015**,0.0014**,0.0153**,0.7291  ,0.3083  ,0.1245  ,0.3330  
sGARCH+GED,0.9584,1.9311,0.3050  ,0.3585  ,0.0287**,0.3355  ,0.7017  ,0.4786  ,0.8367  ,0.1165  ,0.4583  
GARCH-M+GED,0.9589,1.9314,0.2949  ,0.3238  ,0.0278**,0.3033  ,0.6636  ,0.5299  ,0.8497  ,0.1314  ,0.4858  
eGARCH+GED,0.9754,1.8973,0.0430**,0.0076**,0.0033**,0.0044**,0.0390**,0.6215  ,0.4715  ,0.1775  ,0.4966  
apARCH+GED,0.9583,1.9303,0.1703  ,0.1461  ,0.0421**,0.1291  ,0.4229  ,0.5908  ,0.7835  ,0.2142  ,0.6545  
