,QLIKE,MSE,MAE
sGARCH+N,2.2880430429843,119.422223293433,4.6262352856798
GARCH-M+N,2.28823455178145,119.340382478394,4.63413598160537
eGARCH+N,2.25478952335757,116.763008486338,4.43912305333931
apARCH+N,2.26411925222994,117.952360379612,4.45976213613139
sGARCH+t,2.28646176387247,118.861138800133,4.51797409372368
GARCH-M+t,2.28659700558433,118.820985604176,4.52874912291802
eGARCH+t,2.23903287568467,116.727520905475,4.36384997789782
apARCH+t,2.24805564680236,117.388145779001,4.3709609190983
sGARCH+GED,2.28805469719451,118.943033918901,4.53223657856364
GARCH-M+GED,2.28820800145988,118.846999828039,4.53432796034234
eGARCH+GED,2.24405251794183,116.96864877036,4.36768588586813
apARCH+GED,2.25317390279887,117.38133282248,4.39367830179854
