,QLIKE,MSE,MAE
sGARCH+N,2.86367722193183,4771.52171100573,12.7009698031267
GARCH-M+N,2.87957625588286,4772.75081299415,12.6562758832515
eGARCH+N,2.78403500495629,4687.9178458255,11.7427197811416
apARCH+N,2.80348972287778,4691.3031333454,11.6099155270033
sGARCH+t,2.89721782530844,4718.87831988845,11.8549655050953
GARCH-M+t,2.92221217777011,4728.12785615602,11.8702318773873
eGARCH+t,2.77847948774589,4674.14288750914,11.0852563928572
apARCH+t,2.76785403581938,4663.99173839043,11.1588641756456
sGARCH+GED,2.89413119035029,4730.5529486966,12.0092519560438
GARCH-M+GED,2.91678266653518,4738.87414276559,12.0272748931918
eGARCH+GED,2.78669511721285,4679.96105196458,11.1575666941402
apARCH+GED,2.80088522334024,4683.65249341937,11.1781592275343
